epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.75152,2.8699,7.75124,3.18063,0.00154,0.95652,0.11555,0.06039,1.85352,3.18911,2.47836,0.0793,0.0023,0.0023
2,14.5099,1.58164,1.74536,2.05897,0.93276,0.60329,0.78006,0.52908,1.43136,1.84987,2.08157,0.057669,0.00466898,0.00466898
3,20.9125,1.44982,1.04511,1.92007,0.87873,0.78769,0.90641,0.5579,1.48752,1.4389,2.35341,0.0360063,0.00700628,0.00700628
4,27.2951,1.41498,1.03911,1.93472,0.83876,0.95652,0.94285,0.58045,1.3445,0.76103,1.93509,0.0143119,0.0093119,0.0093119
5,33.7173,1.38561,1.01901,1.88115,0.97663,0.90875,0.96629,0.58028,1.41468,0.80886,1.96355,0.009736,0.009736,0.009736
6,40.1754,1.36918,0.9213,1.79832,0.89847,0.96193,0.97168,0.59974,1.3348,0.82681,2.01521,0.00967,0.00967,0.00967
7,46.5691,1.35706,0.98342,1.78985,0.91793,0.97271,0.98454,0.69673,1.18385,0.78098,1.92776,0.009604,0.009604,0.009604
8,53.0108,1.33153,0.90019,1.8,0.94562,1,0.98458,0.62937,1.31989,0.94103,1.8267,0.009538,0.009538,0.009538
9,59.388,1.35087,0.92415,1.8949,0.97847,0.98791,0.99457,0.69421,1.17458,0.75074,1.83522,0.009472,0.009472,0.009472
10,65.828,1.33231,0.91053,1.86503,0.98421,0.95652,0.98972,0.6889,1.11087,0.70929,1.8408,0.009406,0.009406,0.009406
11,72.3016,1.29913,0.86215,1.86734,0.94797,0.91304,0.96355,0.59362,1.32315,0.93607,1.93188,0.00934,0.00934,0.00934
12,78.7201,1.32333,0.88415,1.85701,0.95492,0.92102,0.98404,0.64385,1.32518,0.75754,1.99717,0.009274,0.009274,0.009274
13,85.0796,1.25903,0.83072,1.84915,0.97041,0.95652,0.98319,0.62259,1.28728,0.8124,2.02035,0.009208,0.009208,0.009208
14,91.8033,1.28901,0.84819,1.86961,0.93024,0.97826,0.98641,0.66901,1.18024,0.713,1.99593,0.009142,0.009142,0.009142
15,98.6509,1.28831,0.83838,1.8192,0.93735,0.97581,0.98633,0.66624,1.17048,0.86352,1.88834,0.009076,0.009076,0.009076
16,105.33,1.24003,0.81637,1.80672,0.93616,0.95652,0.98494,0.65179,1.20214,0.77493,1.95265,0.00901,0.00901,0.00901
17,111.893,1.24963,0.82383,1.83297,0.96227,0.91304,0.98317,0.65068,1.13151,0.80354,1.98395,0.008944,0.008944,0.008944
18,118.317,1.24309,0.80376,1.80421,0.93399,0.93478,0.98667,0.66288,1.14294,0.7383,2.01439,0.008878,0.008878,0.008878
19,124.725,1.2154,0.80092,1.79633,0.95206,0.97826,0.9901,0.67184,1.23447,0.66675,1.96375,0.008812,0.008812,0.008812
20,131.164,1.21956,0.79326,1.81353,0.9781,0.97113,0.9903,0.66808,1.15868,0.77226,1.91225,0.008746,0.008746,0.008746
