epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.22863,2.73667,5.19645,3.12886,0.00327,0.98,0.48467,0.20213,1.95763,2.66836,2.52901,0.0784,0.0024,0.0024
2,10.8633,1.60922,1.77114,2.11079,0.89997,0.96,0.97024,0.57326,1.44837,0.93843,2.28131,0.0558515,0.00485149,0.00485149
3,15.3676,1.46347,1.03392,1.91005,0.99812,1,0.995,0.6228,1.31256,0.87053,1.79744,0.0332535,0.00725348,0.00725348
4,19.7237,1.43286,0.96066,1.874,0.97658,1,0.99422,0.65256,1.23076,0.88566,1.80731,0.010606,0.00960597,0.00960597
5,24.0018,1.36677,1.00632,1.87736,0.9799,0.98,0.99118,0.61757,1.35967,0.72979,2.12751,0.009604,0.009604,0.009604
6,28.3213,1.3684,0.8599,1.80912,0.99582,1,0.995,0.6477,1.14857,0.60972,1.712,0.009505,0.009505,0.009505
7,32.5836,1.31455,0.81981,1.74804,0.99866,1,0.995,0.63938,1.22566,0.63002,1.50871,0.009406,0.009406,0.009406
8,36.9278,1.34844,0.8191,1.85805,0.99852,1,0.995,0.67521,1.2007,0.57608,1.77727,0.009307,0.009307,0.009307
9,41.2315,1.3287,0.8388,1.81154,0.97907,1,0.99461,0.67737,1.09069,0.56026,1.5946,0.009208,0.009208,0.009208
10,45.4772,1.30362,0.77004,1.74649,0.99825,1,0.995,0.67223,1.15378,0.60534,1.74787,0.009109,0.009109,0.009109
11,49.756,1.25484,0.75426,1.76299,0.99815,1,0.995,0.66416,1.11111,0.6278,1.66051,0.00901,0.00901,0.00901
12,54.0448,1.2689,0.75742,1.75093,0.97836,1,0.99461,0.68408,1.11909,0.56535,1.74999,0.008911,0.008911,0.008911
13,58.4197,1.2198,0.70837,1.66147,0.99684,1,0.995,0.63634,1.17518,0.6088,1.59206,0.008812,0.008812,0.008812
14,62.7628,1.24401,0.74876,1.75933,0.99737,1,0.995,0.66131,1.1006,0.61012,1.6468,0.008713,0.008713,0.008713
15,67.0333,1.2131,0.71367,1.63424,0.99749,1,0.995,0.6944,1.02611,0.54178,1.60275,0.008614,0.008614,0.008614
16,71.2764,1.20712,0.71931,1.71422,0.99832,1,0.995,0.68976,1.01666,0.53943,1.54243,0.008515,0.008515,0.008515
17,75.4675,1.18185,0.70126,1.67017,0.99773,1,0.995,0.67784,1.096,0.56391,1.61955,0.008416,0.008416,0.008416
18,79.7148,1.20088,0.69354,1.70947,0.99739,1,0.995,0.68431,1.06995,0.60857,1.58491,0.008317,0.008317,0.008317
19,83.9931,1.18459,0.67649,1.70618,0.99702,1,0.995,0.70272,1.07119,0.58375,1.61333,0.008218,0.008218,0.008218
20,88.3645,1.17699,0.6891,1.779,0.99849,1,0.995,0.69874,1.0344,0.51252,1.68307,0.008119,0.008119,0.008119
21,92.7056,1.15296,0.67399,1.72168,0.98036,0.99856,0.99461,0.7098,1.04284,0.5628,1.64557,0.00802,0.00802,0.00802
22,97.005,1.11959,0.65757,1.66616,1,0.99941,0.995,0.70578,1.0789,0.56491,1.67094,0.007921,0.007921,0.007921
23,101.299,1.16117,0.67634,1.72481,1,0.99914,0.995,0.72231,0.98638,0.54917,1.63882,0.007822,0.007822,0.007822
24,105.592,1.13335,0.67029,1.65439,0.99828,1,0.995,0.66775,1.04552,0.54127,1.76994,0.007723,0.007723,0.007723
25,109.839,1.14352,0.67063,1.69474,0.99426,1,0.995,0.70879,0.96837,0.50024,1.57894,0.007624,0.007624,0.007624
26,114.129,1.12831,0.6617,1.64139,0.99826,1,0.995,0.7002,1.12116,0.54248,1.70621,0.007525,0.007525,0.007525
27,118.366,1.12477,0.65472,1.68209,0.99777,1,0.995,0.69916,1.09908,0.53395,1.65512,0.007426,0.007426,0.007426
28,122.625,1.11629,0.64304,1.64803,0.99769,1,0.995,0.70962,1.11243,0.5813,1.69806,0.007327,0.007327,0.007327
29,126.927,1.12292,0.62267,1.64398,0.99856,1,0.995,0.70874,1.06676,0.5064,1.73714,0.007228,0.007228,0.007228
30,131.149,1.11485,0.63972,1.68866,0.99926,1,0.995,0.7285,1.06535,0.52306,1.61963,0.007129,0.007129,0.007129
